"lon","lat","names(locations_dict)"
-74.072092,4.7109886,"bogota d.c. - colombia"
NA,NA,"bogota d.c. - vladivostok"
-74.072092,4.7109886,"bogota d.c. / colombia"
-74.072092,4.7109886,"bogota d.c. colombia"
-74.072092,4.7109886,"bogota d.c., colombia"
-74.072092,4.7109886,"bogota dc"
-74.072092,4.7109886,"bogota dc- colombia"
-74.072092,4.7109886,"bogota dc "
-74.072092,4.7109886,"bogota dc, colombia"
-74.072092,4.7109886,"bogota dc, colombia "
-74.072092,4.7109886,"bogota dc. colombia"
-74.0767333,4.5982288,"bogota de todos"
-74.072092,4.7109886,"bogota distrito capital"
-74.0623364,4.7232224,"bogota y el mundo"
-74.109765,4.548365,"bogota y medellin -colombia-"
-64.2204648,-31.4742902,"bogota y neiva"
-74.072092,4.7109886,"bogota
"
-74.075214,4.664752,"bogota,  barrios unidos"
-74.8071456,10.991598,"bogota, barranquilla y miami."
-74.0553658,4.6577159,"bogota, carrera 9 no.74-08 p.9"
-74.072092,4.7109886,"bogota, co."
-74.072092,4.7109886,"bogota, col. "
-74.072092,4.7109886,"bogota, colombia"
-74.072092,4.7109886,"bogota, colombia "
-74.072092,4.7109886,"bogota, colombia ."
-74.1138849,4.5689385,"bogota, colombia 3208475012"
-74.072092,4.7109886,"bogota, colombia."
-74.072092,4.7109886,"bogota, cundinamarca colombia"
-74.072092,4.7109886,"bogota, d. c."
-74.072092,4.7109886,"bogota, d. c., colombia"
-74.072092,4.7109886,"bogota, d.c"
-74.072092,4.7109886,"bogota, d.c "
-74.072092,4.7109886,"bogota, d.c."
-74.072092,4.7109886,"bogota, d.c. - colombia"
-74.072092,4.7109886,"bogota, d.c. colombia"
-74.072092,4.7109886,"bogota, d.c. colombia."
-74.1126808,4.5950611,"bogota, d.c.,  barranquilla"
-74.072092,4.7109886,"bogota, d.c., col"
-74.072092,4.7109886,"bogota, d.c., colombia"
-74.072092,4.7109886,"bogota, d.c; colombia"
-74.072092,4.7109886,"bogota, d.c; colombia."
-74.072092,4.7109886,"bogota, dc, colombia"
-74.072092,4.7109886,"bogota, dc."
-74.0767333,4.5982288,"bogota, humana"
NA,NA,"bogota, miami, cdmx"
-74.0298621,40.8762106,"bogota, nj"
-74.072092,4.7109886,"bogota, republica de colombia"
NA,NA,"bogota, villavicencio y 22 mun"
-74.072092,4.7109886,"bogota,colombia"
-74.072092,4.7109886,"bogota,colombia."
-74.072092,4.7109886,"bogota."
-74.072092,4.7109886,"bogota. col"
-74.072092,4.7109886,"bogota. colombia"
-74.072092,4.7109886,"bogota., colombia"
-74.072092,4.7109886,"bogota.colombia"
-74.072092,4.7109886,"bogota.d.c."
-74.072092,4.7109886,"bogota.d.c. colombia"
-74.072092,4.7109886,"bogota.dc"
NA,NA,"bogota/ y donde sea menester."
-74.072092,4.7109886,"bogota/colombia"
NA,NA,"bogota/miami/cloud nine"
-73.9789946,40.6781684,"bogota/new york"
-74.072092,4.7109886,"bogota; colombia"
-74.0300122,8.6704382,"bolivar - colombia"
-63.588653,-16.290154,"bolivia"
7.0982068,50.73743,"bonn, alemania"
7.0982068,50.73743,"bonn, allemagne"
-71.0588801,42.3600825,"boston"
-2.6407385,53.4005352,"boston-nyc-sf-europe"
-74.0754515,4.7498826,"boston ma and bogota colombia"
-71.0588801,42.3600825,"boston ma usa"
-71.0588801,42.3600825,"boston, ma"
-71.0687306,42.3631671,"boston, ma | everywhere"
-71.0588801,42.3600825,"boston, ma usa"
-71.0588801,42.3600825,"boston, massachusetts"
-71.0588801,42.3600825,"boston, massachusetts, usa"
NA,NA,"boston, milan, titiribi"
-86.4808043,36.9685219,"bowling green, ky"
-73.362003,5.454511,"boyaca"
-73.362003,5.454511,"boyaca-colombia"
-73.362003,5.454511,"boyaca, colombia"
-91.1074851,40.8291078,"bra, chn, ind, mex, tky, usa"
-51.92528,-14.235004,"brasil"
-47.8821658,-15.7942287,"brasilia"
-47.8821658,-15.7942287,"brasilia - brasil"
-47.8821658,-15.7942287,"brasilia / brasil"
-47.8821658,-15.7942287,"brasilia, brazil"
-51.92528,-14.235004,"brazil"
-0.137163,50.82253,"brighton, uk"
-2.58791,51.454513,"bristol, uk"
-73.8648268,40.8447819,"bronx, ny"
-73.9441579,40.6781784,"brooklyn,  ny"
-73.9441579,40.6781784,"brooklyn, ny"
NA,NA,"brooklyn/buenos aires/toronto"
-3.9993244,40.4043103,"brunete, madrid, espana"
4.3517103,50.8503396,"bruselas / belgica"
4.3517211,50.8503463,"brussels, belgium"
7.7765499,48.5839146,"brussels/strasbourg"
-96.759139,37.255216,"bta"
-73.1227416,7.119349,"bucaramanga"
-73.1227416,7.119349,"bucaramanga - colombia "
-73.1227416,7.119349,"bucaramanga - santander"
-73.1227416,7.119349,"bucaramanga / colombia"
-73.1227416,7.119349,"bucaramanga colombia"
-73.1227416,7.119349,"bucaramanga! "
-73.1227416,7.119349,"bucaramanga, colombia"
-73.1227416,7.119349,"bucaramanga, colombia."
-73.1227416,7.119349,"bucaramanga, santander"
-73.1227416,7.119349,"bucaramanga, santander "
-74.08937,4.68183,"bucaramanga/bogota , colombia"
-77.0197212,3.8830471,"buenaventura"
-77.0197212,3.8830471,"buenaventura, colombia"
-75.8897352,8.7420513,"buenavista cordoba - monteria "
-58.3815591,-34.6036844,"buenos aires"
-58.3815591,-34.6036844,"buenos aires "
-58.3815591,-34.6036844,"buenos aires, "
-58.3815591,-34.6036844,"buenos aires, argentina"
-58.3815591,-34.6036844,"buenos aires. argentina"
-76.3021889,3.9005079,"buga"
-118.3089661,34.1808392,"burbank, ca"
-74.0770886,4.6261268,"cable noticias"
31.2357116,30.0444196,"cairo"
-74.1555872,4.6330758,"caldas-bogota"
-75.768462,5.163676,"caldas - quindio - risaralda"
-75.633347,6.094317,"caldas, antioquia, colombia"
-114.0708459,51.0486151,"calgary, alberta"
-76.5319854,3.4516467,"cali"
-76.5319854,3.4516467,"cali- colombia"
-76.5319854,3.4516467,"cali-colombia"
-76.5319854,3.4516467,"cali - colombia"
-76.5319854,3.4516467,"cali - colombia "
-76.5319854,3.4516467,"cali - valle"
-76.5319854,3.4516467,"cali - valle del cauca"
-76.5319854,3.4516467,"cali - valle del cauca, colombia"
-73.8760537,40.7504274,"cali / nueva york"
-76.5319854,3.4516467,"cali colombia"
-76.5319854,3.4516467,"cali valle del cauca  colombia"
-74.1174298,4.6810679,"cali, bogota, colombia"
-76.5319854,3.4516467,"cali, colombia"
-76.5319854,3.4516467,"cali, colombia."
-76.5319854,3.4516467,"cali, valle"
-76.5319854,3.4516467,"cali, valle del cauca"
-76.5319854,3.4516467,"cali, valle del cauca,colombia"
-76.5319854,3.4516467,"cali, valle del cauca."
-76.5319854,3.4516467,"cali, valle, colombia"
-76.5319854,3.4516467,"cali, valle. colombia"
NA,NA,"cali...hermosa a pesar de todo"
-119.4179324,36.778261,"california"
-119.4179324,36.778261,"california, usa"
-76.5337448,3.4519948,"calle 10 # 3 - 61"
-74.077828,4.6254507,"calle 36 # 28a-24 bogota"
-74.0563543,4.6516003,"calle 69 # 6 - 20 bogota"
-120.9382459,39.9378957,"calle 70 # 10 a -39"
-71.1097335,42.3736158,"cambridge, ma"
-71.1097335,42.3736158,"cambridge, ma "
-71.1097335,42.3736158,"cambridge, ma us"
-71.1097335,42.3736158,"cambridge, ma, usa"
-71.1097335,42.3736158,"cambridge, mass."
NA,NA,"camilina041289@hotmail.com "
NA,NA,"caminando por ahi!"
-58.9592643,-34.1633346,"campana, argentina"
-106.346771,56.130366,"canada"
-64.7782313,46.0878165,"canada, moncton "
-86.8515279,21.161908,"cancun, mexico"
-86.8515279,21.161908,"cancun, mexico. "
-74.0728759,4.597014,"candelaria, colombia"
7.017369,43.552847,"cannes, france"
-81.9495331,26.5628537,"cape coral fl"
-65.4036347,-24.8235628,"capitales de america latina"
NA,NA,"caqueta,meta y guaviare "
-68.0477509,10.1176433,"carabobo venezuela"
-66.9036063,10.4805937,"caracas"
-71.6102726,10.6612476,"caracas-maracaibo"
-66.8443474,10.4996087,"caracas-miami"
-66.9036063,10.4805937,"caracas-venezuela"
-66.9036063,10.4805937,"caracas - venezuela"
-66.9036063,10.4805937,"caracas venezuela"
-66.9036063,10.4805937,"caracas, venezuela"
-66.9036063,10.4805937,"caracas, venezuela."
-66.9036063,10.4805937,"caracas,venezuela"
NA,NA,"carakistan, por ahora"
-78.6568942,21.4691137,"caribbean"
-75.545273,10.4208148,"caribe colombiano"
-75.545273,10.4208148,"caribe colombiano."
-75.545273,10.4208148,"caribe, colombia"
-61.3653564,-35.6225839,"carlos casares "
-74.0648112,4.6418393,"carrera 13 no. 54-74 "
-74.081933,4.6294953,"carrera 32a no. 26a - 10"
-75.4794257,10.3910485,"cartagena"
-75.4794257,10.3910485,"cartagena-colombia."
-75.4794257,10.3910485,"cartagena - colombia"
-75.4794257,10.3910485,"cartagena  - colombia"
-75.4794257,10.3910485,"cartagena / colombia"
-75.4794257,10.3910485,"cartagena bolivar"
-75.4794257,10.3910485,"cartagena de indias"
-75.4794257,10.3910485,"cartagena de indias - bolivar"
-75.4794257,10.3910485,"cartagena de indias - colombia"
-75.4794257,10.3910485,"cartagena de indias, colombia"
-75.4794257,10.3910485,"cartagena de indias."
-75.4794257,10.3910485,"cartagena, bolivar"
-75.4794257,10.3910485,"cartagena, colombia"
-74.8252389,11.0063991,"cartagena+barranquilla+aviones"
-75.9116289,4.7472212,"cartago, colombia"
-72.386216,5.320657,"casanare / yopal bogota "
-3.097702,39.2795607,"castille-la mancha, spain"
1.5208624,41.5911589,"catalonia"
-72.2845477,9.1845236,"catatumbo, norte de santander"
-76.8259652,2.7049813,"cauca, colombia"
-81.2546,19.3133,"cayman islands"
-94.7173402,38.9871486,"ccs"
-99.133208,19.4326077,"cdmx"
-67.0549411,10.3620933,"cenapromil - los teques"
-71.1044416,42.3652669,"central sq., cambridge, ma usa"
-99.1373136,19.4361609,"centro de la ciudad de mexico"
-106.8711899,28.4044058,"centro democratico"
-75.789633,8.888785,"cerete cordoba"
-75.789633,8.888785,"cerete, colombia"
-52.615699,-27.1009343,"chapeco"
-74.0498595,4.6810882,"chapinero medio, bogota"
-79.9310512,32.7764749,"charleston, sc"
-78.4766781,38.0293059,"charlottesville, va."
NA,NA,"chi, dc, worldwide walkable"
-74.0325368,4.8615787,"chia cundinamarca"
-74.0325368,4.8615787,"chia, colombia"
-74.0325368,4.8615787,"chia, cundinamarca"
-73.9916486,40.7460318,"chia."
-93.1292353,16.7569318,"chiapas mexico"
-87.6297982,41.8781136,"chicago"
55.2215284,25.1438108,"chicago & dubai"
12.4536413,41.9064878,"chicago / vatican city"
-87.6297982,41.8781136,"chicago, il"
-87.6297982,41.8781136,"chicago, illinois"
NA,NA,"chilam balam, niuyol, ventosa"
-71.542969,-35.675147,"chile"
NA,NA,"chinacota - marinilla "
-72.60247,7.600193,"chinacota norte de santander"
-75.60526,4.98273,"chinchina, colombia"
-96.7656444,44.310455,"choco "
NA,NA,"choco bioregion, colombia"
-76.8259652,5.2528033,"choco, colombia"
-74.297333,4.570868,"cholombia"
-74.248926,11.007984,"cienaga, colombia"
NA,NA,"citas de grandes pensadores"
-0.0909852,51.5123443,"city of london, london"
-58.3815591,-34.6036844,"ciudad autonoma de buenos aire"
-74.1574289,4.579524,"ciudad bolivar-bogota-colombia"
NA,NA,"ciudad caotica"
-99.133208,19.4326077,"ciudad de mexico"
-99.1646601,19.4121742,"ciudad de mexico - medellin"
-77.0368707,38.9071923,"ciudad de washington"
12.453389,41.902916,"ciudad del vaticano"
-62.6496813,8.3663119,"ciudad guayana - venezuela"
-106.406566,31.684031,"ciudad star"
-74.047243,4.6786086,"ciudadano del mundo"
42.185474,37.332346,"cizre "
-1.2077629,38.0589895,"clase media"
NA,NA,"cocalombia_ut: 5.42293,-71729 "
-96.41511,32.909998,"col"
-122.0094175,39.2143343,"col-usa"
-74.297333,4.570868,"colombia"
-74.072092,4.7109886,"colombia- bogota"
NA,NA,"colombia- telefono (1) 5187000 cgr@contraloria.gov.co"
-74.072092,4.7109886,"colombia-bogota"
-75.8785348,8.750983,"colombia-cordoba-monteria"
-74.0476236,4.6789529,"colombia-espana"
NA,NA,"colombia-eua"
-74.297333,4.570868,"colombia-latam"
-99.7609631,27.7045499,"colombia-mexico"
-75.8785348,8.750983,"colombia-monteria-"
-75.690601,4.8087174,"colombia-pereira"
-74.297333,4.570868,"colombia-southamerica"
-81.5837421,28.5631619,"colombia-venezuela "
-74.297333,4.570868,"colombia "
-75.3412179,7.1986064,"colombia - antioquia"
-99.0972028,19.5248583,"colombia - argentina - mexico "
-74.072092,4.7109886,"colombia - bogota"
-74.072092,4.7109886,"colombia - bogota d.c."
-75.5441372,6.2946578,"colombia - espana"
-74.297333,4.570868,"colombia - suramerica"
-81.2336428,28.5692695,"colombia - u.s.a"
-73.2436335,10.4742449,"colombia - valledupar/cesar"
-74.0452592,4.7434753,"colombia  & usa"
-75.6756888,4.5350004,"colombia  armenia  quindio"
-75.6756888,4.5350004,"colombia (armenia, quindio)"
NA,NA,"colombia * kariba ati seynekun"
-74.05414,4.66629,"colombia / england"
-117.814262,46.2775138,"colombia / washington"
-4.7871356,37.8943762,"colombia and spain"
-77.0368707,38.9071923,"colombia d. c"
-58.6719986,-34.7092169,"colombia en 2017"
-72.5204827,11.3547743,"colombia la guajira"
NA,NA,"colombia planeta tierra"
-75.54747,5.07476,"colombia rural"
-75.89955,9.26909,"colombia tierra querida! "
-74.072092,4.7109886,"colombia, bogota"
-74.297333,4.570868,"colombia, latinoamerica"
-104.6889502,38.9598594,"colombia, panama y usa"
-74.297333,4.570868,"colombia, sur america"
-74.297333,4.570868,"colombia, suramerica"
-75.89955,9.26909,"colombia, tierra querida"
-74.072092,4.7109886,"colombia,bogota"
-74.297333,4.570868,"colombia."
-74.0476236,4.6789529,"colombia/espana"
-76.541315,3.4512731,"colombiano uribista 1000%"
-95.712891,37.09024,"columbia"
-73.9625727,40.8075355,"columbia university, new york"
-82.9987942,39.9611755,"columbus, oh"
NA,NA,"compra tus entradas ya"
-74.073432,4.695857,"con colombia siempre"
-66.7918338,10.5019235,"con el corazon en venezuela"
NA,NA,"con los pies en la tierra"
-73.087749,41.6032207,"connecticut"
-58.550427,-34.4458456,"constitucion 1886"
